segment_id,material,product_type,diameter_in,length_km,age_years,coating_type,soil_type,cathodic_protection_status,operating_pressure_psi,pressure_cycles_per_day,nominal_wall_thickness_mm,measured_wall_thickness_mm,corrosion_rate_mm_per_year,wall_loss_pct,repairs_last_5yr,inspection_gap_years,high_consequence_area,river_road_crossing,leak_incident_last_5yr
SEG-0001,Carbon Steel,Natural Gas,4,5.26,40.8,FBE,Loam,Inadequate,984.0,9,7.9,4.69,0.082,40.7,2,5.3,Yes,No,1
SEG-0002,CRA-Clad,Natural Gas,24,2.34,10.3,Polyethylene Tape,Clay,Adequate,787.0,3,6.4,6.46,0.01,0.0,1,6.2,No,No,0
SEG-0003,HDPE,Natural Gas,6,10.16,7.7,None,Loam,Marginal,1189.0,9,6.4,6.38,0.015,0.3,0,3.8,No,No,0
SEG-0004,CRA-Clad,Crude Oil,12,15.31,5.4,Asphalt Mastic,Rocky,Marginal,1174.0,7,6.4,6.47,0.01,0.0,0,1.5,No,Yes,0
SEG-0005,CRA-Clad,Crude Oil,4,11.15,15.9,Polyethylene Tape,Clay,Inadequate,1016.0,9,7.9,7.91,0.01,0.0,1,5.2,No,No,0
SEG-0006,Carbon Steel,Crude Oil,4,7.64,2.9,FBE,Marshland,Adequate,927.0,2,12.7,12.45,0.01,1.9,0,1.1,Yes,Yes,0
SEG-0007,Carbon Steel,Produced Water,10,8.98,31.5,Coal Tar Enamel,Marshland,Marginal,917.0,3,12.7,9.79,0.082,22.9,0,7.1,No,No,0
SEG-0008,HDPE,Crude Oil,10,4.97,26.3,Polyethylene Tape,Marshland,Adequate,1116.0,6,7.9,7.39,0.01,6.4,1,1.4,No,No,0
SEG-0009,HDPE,Produced Water,8,1.6,8.8,Polyethylene Tape,Marshland,Adequate,648.0,5,12.7,12.4,0.01,2.4,0,5.7,No,No,0
SEG-0010,Carbon Steel,Natural Gas,12,10.23,4.7,FBE,Loam,Inadequate,868.0,6,7.9,7.53,0.06,4.6,1,7.7,No,No,0
SEG-0011,Carbon Steel,Natural Gas,8,6.89,17.8,Polyethylene Tape,Rocky,Adequate,1090.0,5,6.4,5.92,0.01,7.5,0,4.9,No,No,0
SEG-0012,Carbon Steel,Natural Gas,12,13.24,25.7,Polyethylene Tape,Loam,Adequate,1088.0,5,9.5,9.37,0.01,1.4,0,1.8,No,No,0
SEG-0013,Carbon Steel,Crude Oil,4,14.63,45.6,Asphalt Mastic,Loam,Adequate,1307.0,5,12.7,12.08,0.01,4.9,0,6.6,No,No,0
SEG-0014,Carbon Steel,Natural Gas,24,9.38,55.0,Polyethylene Tape,Rocky,Marginal,974.0,10,11.1,8.43,0.04,24.0,1,2.5,Yes,No,0
SEG-0015,Carbon Steel,Produced Water,8,5.83,2.8,Coal Tar Enamel,Marshland,Marginal,1177.0,3,11.1,11.18,0.102,0.0,1,1.3,No,No,0
SEG-0016,HDPE,Crude Oil,6,17.12,3.1,FBE,Rocky,Inadequate,676.0,7,6.4,6.51,0.011,0.0,3,2.5,No,No,1
SEG-0017,Carbon Steel,Crude Oil,16,9.35,8.6,Coal Tar Enamel,Rocky,Adequate,1177.0,8,9.5,9.02,0.021,5.0,2,3.2,Yes,No,0
SEG-0018,Carbon Steel,Produced Water,24,4.27,25.5,Asphalt Mastic,Rocky,Marginal,870.0,0,12.7,11.03,0.061,13.1,0,6.4,Yes,No,0
SEG-0019,Carbon Steel,Produced Water,4,5.68,5.1,FBE,Marshland,Adequate,771.0,5,6.4,6.55,0.01,0.0,0,6.7,Yes,Yes,0
SEG-0020,Carbon Steel,Natural Gas,6,6.26,14.0,Polyethylene Tape,Loam,Marginal,189.0,7,9.5,8.33,0.054,12.3,0,4.0,No,Yes,0
SEG-0021,CRA-Clad,Natural Gas,10,3.08,4.7,None,Sandy,Adequate,1027.0,5,11.1,10.91,0.016,1.7,0,3.9,No,No,0
SEG-0022,HDPE,Crude Oil,24,9.34,16.5,Asphalt Mastic,Clay,Adequate,1173.0,5,6.4,6.39,0.01,0.1,0,4.3,No,No,1
SEG-0023,Carbon Steel,Produced Water,16,5.51,18.7,None,Marshland,Adequate,1006.0,3,12.7,12.44,0.044,2.1,0,7.5,Yes,No,0
SEG-0024,HDPE,Crude Oil,4,15.78,4.5,None,Rocky,Marginal,1288.0,4,6.4,6.35,0.01,0.8,0,1.8,No,No,0
SEG-0025,Carbon Steel,Crude Oil,8,3.5,6.8,Coal Tar Enamel,Clay,Inadequate,889.0,8,9.5,9.31,0.09,2.0,0,6.7,No,No,0
SEG-0026,Carbon Steel,Crude Oil,24,6.14,10.9,Asphalt Mastic,Sandy,Adequate,870.0,3,7.9,7.43,0.046,6.0,0,4.5,No,No,0
SEG-0027,HDPE,Crude Oil,10,2.95,4.3,FBE,Marshland,Marginal,1064.0,8,9.5,9.84,0.027,0.0,0,3.4,No,No,0
