Report_Date,Well_ID,Depth_Start_m,Depth_End_m,Meters_Drilled,Rotating_Hours,NPT_Hours,NPT_Type_Summary,Daily_Mud_Cost_USD,Operation_Summary
2025-02-01,WELL-D01,2.4,824.0,821.6,22.67,0.0,No_NPT,4520.19,Drilled 822 m in Deviated section. No NPT recorded.
2025-02-02,WELL-D01,825.1,1186.4,361.3,22.67,0.0,No_NPT,6149.72,Drilled 361 m in Deviated section. No NPT recorded.
2025-02-03,WELL-D01,1187.5,1549.2,361.7,22.67,0.0,No_NPT,5582.75,Drilled 362 m in Deviated section. No NPT recorded.
2025-02-04,WELL-D01,1550.8,1904.9,354.1,22.67,0.0,No_NPT,7268.05,Drilled 354 m in Deviated section. No NPT recorded.
2025-02-05,WELL-D01,1905.6,1953.8,48.2,5.42,18.25,Stuck_Pipe,5901.48,Drilled 48 m in Deviated section. NPT recorded: Stuck_Pipe.
2025-02-06,WELL-D01,1954.6,2157.7,203.1,22.67,0.0,No_NPT,7940.69,Drilled 203 m in Deviated section. No NPT recorded.
2025-02-07,WELL-D01,2158.6,2360.9,202.3,22.67,0.0,No_NPT,9226.64,Drilled 202 m in Deviated section. No NPT recorded.
2025-02-08,WELL-D01,2361.8,2566.3,204.5,22.67,0.0,No_NPT,8346.28,Drilled 205 m in Deviated section. No NPT recorded.
2025-02-09,WELL-D01,2567.1,2684.3,117.1,13.17,10.0,Equipment_Failure,6601.26,Drilled 117 m in Deviated section. NPT recorded: Equipment_Failure.
2025-02-10,WELL-D01,2685.1,2890.7,205.6,22.67,0.0,No_NPT,9427.51,Drilled 206 m in Deviated section. No NPT recorded.
2025-02-11,WELL-D01,2891.4,3029.6,138.3,22.67,0.0,No_NPT,8355.91,Drilled 138 m in Deviated section. No NPT recorded.
2025-02-12,WELL-D01,3030.2,3164.0,133.8,22.67,0.0,No_NPT,8554.41,Drilled 134 m in Deviated section. No NPT recorded.
2025-02-13,WELL-D01,3164.5,3297.9,133.3,22.67,0.0,No_NPT,5523.75,Drilled 133 m in Deviated section. No NPT recorded.
2025-02-14,WELL-D01,3298.3,3434.9,136.6,22.67,0.0,No_NPT,7934.5,Drilled 137 m in Deviated section. No NPT recorded.
2025-02-15,WELL-D01,3435.4,3450.0,14.7,2.58,0.0,No_NPT,4853.18,Drilled 15 m in Deviated section. No NPT recorded.
2025-02-10,WELL-D02,2.9,828.6,825.8,22.67,0.0,No_NPT,7083.7,Drilled 826 m in Vertical section. No NPT recorded.
2025-02-11,WELL-D02,829.7,1187.0,357.4,22.67,0.0,No_NPT,9214.08,Drilled 357 m in Vertical section. No NPT recorded.
2025-02-12,WELL-D02,1188.5,1206.0,17.6,1.17,22.75,Stuck_Pipe,6332.64,Drilled 18 m in Vertical section. NPT recorded: Stuck_Pipe.
2025-02-13,WELL-D02,1207.4,1564.8,357.4,22.67,0.0,No_NPT,6012.82,Drilled 357 m in Vertical section. No NPT recorded.
2025-02-14,WELL-D02,1566.2,1915.3,349.1,22.67,0.0,No_NPT,5070.44,Drilled 349 m in Vertical section. No NPT recorded.
2025-02-15,WELL-D02,1916.0,2117.3,201.2,22.67,0.0,No_NPT,8137.77,Drilled 201 m in Vertical section. No NPT recorded.
2025-02-16,WELL-D02,2118.0,2248.4,130.3,14.58,8.58,Equipment_Failure,6626.51,Drilled 130 m in Vertical section. NPT recorded: Equipment_Failure.
2025-02-17,WELL-D02,2249.2,2451.1,201.9,22.67,0.0,No_NPT,9393.12,Drilled 202 m in Vertical section. No NPT recorded.
2025-02-18,WELL-D02,2451.8,2653.7,202.0,22.67,0.0,No_NPT,8851.3,Drilled 202 m in Vertical section. No NPT recorded.
2025-02-19,WELL-D02,2654.6,2857.0,202.3,22.67,0.0,No_NPT,7063.3,Drilled 202 m in Vertical section. No NPT recorded.
2025-02-20,WELL-D02,2857.7,2980.3,122.6,18.25,0.0,No_NPT,6757.85,Drilled 123 m in Vertical section. No NPT recorded.
2025-02-18,WELL-D03,3.1,828.5,825.4,22.67,0.0,No_NPT,5612.82,Drilled 825 m in Horizontal section. No NPT recorded.
2025-02-19,WELL-D03,829.9,1191.0,361.1,22.67,0.0,No_NPT,8824.58,Drilled 361 m in Horizontal section. No NPT recorded.
2025-02-20,WELL-D03,1192.3,1206.1,13.8,0.92,23.08,Stuck_Pipe,7412.3,Drilled 14 m in Horizontal section. NPT recorded: Stuck_Pipe.
2025-02-21,WELL-D03,1206.1,1496.7,290.6,18.17,4.75,Stuck_Pipe,4840.16,Drilled 291 m in Horizontal section. NPT recorded: Stuck_Pipe.
2025-02-22,WELL-D03,1498.1,1858.7,360.5,22.67,0.0,No_NPT,8889.17,Drilled 361 m in Horizontal section. No NPT recorded.
2025-02-23,WELL-D03,1860.1,2082.3,222.2,22.67,0.0,No_NPT,4633.72,Drilled 222 m in Horizontal section. No NPT recorded.
2025-02-24,WELL-D03,2083.1,2286.5,203.4,22.67,0.0,No_NPT,6250.56,Drilled 203 m in Horizontal section. No NPT recorded.
2025-02-25,WELL-D03,2287.2,2462.8,175.6,19.5,3.33,Equipment_Failure,7652.71,Drilled 176 m in Horizontal section. NPT recorded: Equipment_Failure.
2025-02-26,WELL-D03,2462.8,2579.4,116.6,12.92,10.25,Equipment_Failure,8372.49,Drilled 117 m in Horizontal section. NPT recorded: Equipment_Failure.
2025-02-27,WELL-D03,2580.1,2782.3,202.2,22.67,0.0,No_NPT,4900.58,Drilled 202 m in Horizontal section. No NPT recorded.
2025-02-28,WELL-D03,2782.8,2955.7,172.8,22.67,0.0,No_NPT,5818.68,Drilled 173 m in Horizontal section. No NPT recorded.
2025-03-01,WELL-D03,2956.0,3090.9,134.9,22.67,0.0,No_NPT,8341.8,Drilled 135 m in Horizontal section. No NPT recorded.
2025-03-02,WELL-D03,3091.3,3225.1,133.7,22.67,0.0,No_NPT,7383.13,Drilled 134 m in Horizontal section. No NPT recorded.
2025-03-03,WELL-D03,3225.6,3360.9,135.3,22.67,0.0,No_NPT,7297.11,Drilled 135 m in Horizontal section. No NPT recorded.
2025-03-04,WELL-D03,3361.4,3494.4,133.0,22.67,0.0,No_NPT,7498.27,Drilled 133 m in Horizontal section. No NPT recorded.
2025-03-05,WELL-D03,3494.9,3630.6,135.7,22.67,0.0,No_NPT,5335.05,Drilled 136 m in Horizontal section. No NPT recorded.
2025-03-06,WELL-D03,3631.1,3767.4,136.3,22.67,0.0,No_NPT,6953.62,Drilled 136 m in Horizontal section. No NPT recorded.
2025-03-07,WELL-D03,3767.9,3904.8,136.8,22.67,0.0,No_NPT,5039.33,Drilled 137 m in Horizontal section. No NPT recorded.
2025-03-08,WELL-D03,3905.2,4040.7,135.5,22.67,0.0,No_NPT,9142.79,Drilled 135 m in Horizontal section. No NPT recorded.
2025-03-09,WELL-D03,4041.1,4120.3,79.3,13.25,0.0,No_NPT,8687.48,Drilled 79 m in Horizontal section. No NPT recorded.
