Timestamp,Well_ID,Hole_Depth_m,Activity_Code,WOB_klb,RPM,Torque_kftlb,ROP_m_hr,Hook_Load_klb,Standpipe_Pressure_psi,Mud_Flow_Rate_gpm,Mud_Density_ppg,Gas_Units,NPT_Flag,NPT_Type
2025-02-01 00:00:00,WELL-D01,2.43,Drilling,12.72,147.9,0.96,29.1,118.48,798.0,649.7,9.65,16.6,0,No_NPT
2025-02-01 00:05:00,WELL-D01,6.02,Drilling,12.75,140.6,1.46,43.14,115.55,815.7,630.8,9.6,23.5,0,No_NPT
2025-02-01 00:10:00,WELL-D01,9.65,Drilling,11.82,134.3,1.23,43.57,117.05,798.7,660.6,9.63,21.5,0,No_NPT
2025-02-01 00:15:00,WELL-D01,12.66,Drilling,12.41,158.0,1.23,36.15,115.87,825.1,672.6,9.57,19.6,0,No_NPT
2025-02-01 00:20:00,WELL-D01,16.11,Drilling,11.21,145.5,1.47,41.39,116.55,816.1,652.3,9.65,20.9,0,No_NPT
2025-02-01 00:25:00,WELL-D01,19.31,Drilling,12.21,145.7,1.42,38.31,120.35,775.0,643.6,9.58,18.2,0,No_NPT
2025-02-01 00:30:00,WELL-D01,22.14,Drilling,11.74,152.6,1.64,34.05,113.54,804.5,653.3,9.65,22.4,0,No_NPT
2025-02-01 00:35:00,WELL-D01,25.13,Drilling,12.76,137.1,1.56,35.89,117.91,781.3,627.3,9.64,16.4,0,No_NPT
2025-02-01 00:40:00,WELL-D01,28.14,Drilling,12.14,145.8,1.38,36.05,120.51,806.9,659.1,9.6,17.4,0,No_NPT
2025-02-01 00:45:00,WELL-D01,31.49,Drilling,11.63,130.0,1.12,40.22,118.8,827.1,658.9,9.61,22.7,0,No_NPT
2025-02-01 00:50:00,WELL-D01,34.02,Drilling,11.59,139.3,0.86,30.31,114.86,791.7,658.0,9.6,16.4,0,No_NPT
2025-02-01 00:55:00,WELL-D01,37.46,Drilling,13.25,137.0,1.04,41.36,118.01,793.6,643.2,9.54,23.4,0,No_NPT
